operon_name,content
operon_570,"('gatZ', 'yobF', 'cspC')"
operon_571,"('cspC', 'rrlC')"
operon_572,"('yebO', 'mgrB')"
operon_573,"('prc', 'proQ')"
operon_574,"('prc', 'proQ', 'msrC')"
operon_575,"('proQ', 'msrC')"
operon_576,"('yebV', 'rsmF')"
operon_577,"('yebY', 'yebZ')"
operon_578,"('yebZ', 'yobA')"
operon_579,"('yebF', 'yebG')"
operon_580,"('edd', 'eda')"
operon_581,"('edd', 'rrlE', 'eda')"
operon_582,"('yebK', 'pykA')"
operon_583,"('pykA', 'rrsA')"
operon_584,"('lpxM', 'mepM')"
operon_585,"('mepM', 'znuA')"
operon_586,"('rrsD', 'znuA')"
operon_587,"('znuC', 'znuB')"
operon_588,"('ruvA', 'ruvB')"
operon_589,"('yebC', 'ruvC')"
operon_590,"('nudB', 'yebC', 'ruvC', 'aspS')"
operon_591,"('nudB', 'yebC', 'ruvC')"
operon_592,"('yebC', 'nudB', 'aspS')"
operon_593,"('nudB', 'aspS')"
operon_594,"('yecD', 'yecE')"
operon_595,"('yecN', 'cmoB', 'cmoA')"
operon_596,"('cmoB', 'cmoA')"
operon_597,"('cutC', 'yecM')"
operon_598,"('cheY', 'cheB', 'cheR')"
operon_599,"('otsA', 'otsB')"
operon_600,"('leuZ', 'glyW', ""3'ETS-leuZ"", 'cysT')"
operon_601,"('leuZ', 'glyW', 'cysT')"
operon_602,"('leuZ', 'cysT')"
operon_603,"('pgsA', 'leuZ', 'glyW', 'cysT')"
operon_604,"('glyW', 'cysT')"
operon_605,"('uvrC', 'pgsA')"
operon_606,"('uvrC', 'uvrY')"
operon_607,"('uvrC', 'rrlC')"
operon_608,"('tcyL', 'sdiA', 'tcyN')"
operon_609,"('tcyL', 'tcyN')"
operon_610,"('yedF', 'yedE')"
operon_611,"('yodC', 'yedI')"
operon_612,"('dcm', 'vsr')"
operon_613,"('dcm', 'yedJ')"
operon_614,"('yedJ', 'drpB')"
operon_615,"('hprR', 'hprS')"
operon_616,"('msrP', 'msrQ')"
operon_617,"('cobT', 'ldtA')"
operon_618,"('cobS', 'cobU', 'cobT')"
operon_619,"('cobS', 'cobU')"
operon_620,"('insD3', 'insC3')"
operon_621,"('isrC', 'flu')"
operon_622,"('yeeS', 'yeeR')"
operon_623,"('tmaR', 'yeeA', 'yoeJ')"
operon_624,"('tmaR', 'yoeJ')"
operon_625,"('dacD', 'sbmC')"
operon_626,"('tsuA', 'tsuB')"
